alphaRaw16-1,alphaRaw16-2,alphaRaw16-3,alphaRaw16-4,alphaRaw24-1,alphaRaw24-2,alphaRaw24-3,alphaRaw24-4,alphaGrad-1,alphaGrad-2,alphaGrad-3,alphaGrad-4,grad-x,grad-y,grad-z,grad-xz,grad-yz,grad-rx,grad-ry,grad-rz,gradsum-xy,gradsum-xz,gradsum-yz,gradratio-xy,gradratio-xz,gradratio-yz,gradstddev-x,gradstddev-y,gradstddev-z,xpeaks,ypeaks,avg,stddev,moment-2,moment-3,moment-4,class
0.175102,0.594104,0,0.230794,0.054198,0.60904,0,0.336762,1,0,0,0,0.048867,0.043412,0.015307,0.027424,0.02502,0.000609,0.003816,-0.00004,0.09228,0.064174,0.058719,1.125651,3.192551,2.836182,167.133396,107.941784,0.016757,8,3,0.853064,0.661555,1.165366,2.008005,4.063638,a4c
0,1,0,0,0,1,0,0,0,1,0,0,0.060951,0.051557,0.015709,0.02818,0.029445,-0.001756,0.001673,-0.000001,0.112507,0.076659,0.067265,1.18221,3.880044,3.282024,251.599553,165.761292,0.014456,3,4,1.384369,0.559911,2.229974,4.012074,7.872641,a4c
0.326113,0.37531,0,0.298576,0.07598,0.534791,0,0.389229,0,0.778813,0.136743,0.084444,0.056415,0.053074,0.022611,0.043189,0.043666,0.003851,0.003585,0.000044,0.10949,0.079026,0.075685,1.062954,2.495074,2.347303,190.600753,240.719636,0.023272,3,5,1.032863,0.684622,1.535508,2.971532,7.094384,a4c
0,0.940812,0.044746,0.014442,0.013266,0.793314,0.19342,0,0,1,0,0,0.070212,0.050707,0.019249,0.05262,0.038993,0.000375,0.006169,0,0.120919,0.089461,0.069956,1.384648,3.647616,2.634327,204.560067,126.315423,0.020707,4,4,1.060932,0.74259,1.67701,3.484512,8.681053,a4c
0,1,0,0,0,1,0,0,0,1,0,0,0.061845,0.051484,0.018273,0.033556,0.03098,-0.001325,0.002173,-0.000049,0.113329,0.080118,0.069758,1.201243,3.38444,2.817448,159.657066,161.5162,0.017071,4,4,1.173245,0.692075,1.855465,3.675325,8.492231,a4c
0.49936,0.380971,0.119669,0,0.394389,0.463619,0.141991,0,1,0,0,0,0.052653,0.040611,0.013759,0.027985,0.022917,0.000578,-0.00243,0.000008,0.093264,0.066411,0.05437,1.29651,3.826851,2.951656,210.958768,87.158094,0.013163,3,5,0.846296,0.583824,1.057063,1.597914,2.703274,a4c
0.233333,0,0.113383,0.653284,0.334798,0,0.099982,0.565219,0,0.691114,0.308886,0,0.055691,0.054846,0.015948,0.031545,0.025892,0.003288,0.00404,0.000051,0.110538,0.07164,0.070795,1.015406,3.491991,3.43901,488.100825,416.408991,0.01641,3,4,0.973035,0.615425,1.325536,2.301499,4.826532,a4c
0,1,0,0,0,1,0,0,0.155611,0.800147,0.044242,0,0.056809,0.049142,0.014733,0.027732,0.027932,0.00167,-0.003167,0.000015,0.105951,0.071542,0.063875,1.156011,3.855977,3.335588,541.548983,315.540161,0.015256,3,3,0.842447,0.513414,0.973306,1.337872,2.058259,a4c
0.120494,0,0.879506,0,0,0,1,0,0.566601,0,0.110789,0.322609,0.046052,0.046294,0.01497,0.02865,0.028791,0.001364,0.000929,-0.000029,0.092345,0.061022,0.061264,0.994779,3.076234,3.09238,91.512208,114.53424,0.016406,3,4,0.929153,0.72549,1.389653,2.712367,6.147657,plax
0.152756,0,0,0.847244,0.17661,0,0,0.82339,0.265725,0,0.372973,0.361302,0.039114,0.045256,0.013833,0.030118,0.032666,-0.000185,0.0062,0.000013,0.08437,0.052947,0.059089,0.864277,2.827521,3.271544,133.416077,77.998332,0.015163,4,5,0.756688,0.61486,0.950624,1.480461,2.624145,plax
